Field	Type	Null	Key	Default	Extra
id	int	NO	PRI	NULL	auto_increment
numero_ecriture	varchar(50)	NO	UNI	NULL	
date_operation	date	NO	MUL	NULL	
heure_operation	time	NO		NULL	
categorie	enum('stock','paiement','vente','achat','salaire','production','maintenance','autre')	NO	MUL	NULL	
type_mouvement	enum('entree','sortie','recette','depense')	NO	MUL	NULL	
sous_categorie	varchar(100)	YES		NULL	
libelle	varchar(255)	NO	MUL	NULL	
description	text	YES		NULL	
reference_externe	varchar(100)	YES		NULL	
montant	decimal(15,2)	YES		NULL	
quantite	decimal(10,2)	YES		NULL	
unite_mesure	varchar(20)	YES		NULL	
compte_debit	varchar(50)	YES		NULL	
compte_credit	varchar(50)	YES		NULL	
table_source	varchar(50)	NO	MUL	NULL	
id_source	int	NO		NULL	
tiers_type	enum('client','fournisseur','employe','autre')	YES	MUL	NULL	
tiers_id	int	YES		NULL	
tiers_nom	varchar(150)	YES		NULL	
statut	enum('brouillon','valide','lettre','rapproche')	YES	MUL	valide	
exercice_comptable	int	NO	MUL	NULL	
periode_comptable	int	NO		NULL	
effectue_par	int	NO	MUL	NULL	
effectue_par_nom	varchar(150)	NO		NULL	
effectue_par_role	varchar(50)	NO		NULL	
ip_address	varchar(45)	YES		NULL	
valide_par	int	YES	MUL	NULL	
date_validation	datetime	YES		NULL	
rapproche	tinyint(1)	YES		0	
date_rapprochement	date	YES		NULL	
rapproche_par	int	YES	MUL	NULL	
donnees_complementaires	json	YES		NULL	
commentaire	text	YES		NULL	
piece_jointe	varchar(255)	YES		NULL	
date_creation	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
date_modification	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
